Comment,Timestamp,Sentiment
"Nancy: President Trump needs to be impeached for lots of reasons he has violated several laws he's made deals with Russia he's made deals with Ukraine and he's been saying I can do whatever I want and in this country we need to work together and come up with an agreement so with that we need him impeached thank you
Donald: Nancy Pelosi thinks I did something wrong that I should be impeached but I've been keeping my people safe my country safe I'm not hurting anyone and I'm not trying to start a war so if you think Nancy is telling the truth she's not she's just doing this cause she doesn't like me and she thinks she's in charge of this country and she also thinks that America hates me but wait till the 2020 election comes and we'll see who America likes more cause I've been trying to make America great again but the democrats are not letting me do these things so wait till 2020 happens and then we'll see who America agrees with more thank you. 
(Here's my prediction) 
Me: hello this is my prediction of what I think is going on for the past 3 years the democrats have been hating on Trump about lots of things he's doing for our country yes we want America to be safe, yes we don't want to go to war with nobody but we should work together and figure out what's going on cause lots of people are hating on Trump and Nancy Pelosi wants to impeach Trump but it's not working and the 2020 Presidential Election is next year in this month of November so there shouldn't be an impeachment when it gets close to the next election and we should just let America choose if Trump should still be in office or if one of the Democratic candidates takes oath of office thank you",2019-11-20T00:25:32Z,0.9439
She’s basically giving a history lesson on how long our country has been corrupted!!!💯 Just now WE THE PEOPLE have a President that won’t allow it to continue in the direction it had been going and well Pelosi can’t have that!!!,2019-10-31T15:26:36Z,0.7627
Slurred speech is all I got out of this. She can't even read off a teleprompter!! Go back to your vineyard!!!,2019-10-30T01:34:32Z,0.0
"😜 
👊/||\_ 
  _/¯ ¯\_",2019-10-22T15:50:29Z,0.0
"Thank you Ms . Pelosi, for being the Voice of so many Americans in the United States, my support an so many other rely on such strong voice such as your . 7 1/2 supporters depends on your strong voice for the United States. I love you Ms 😘 pelosi, ( stay strong for us . United States of America.",2019-10-18T13:14:43Z,0.9828
Impeach Pelosi,2019-10-16T23:55:22Z,0.0
what was that all about ..load of garbage..,2019-10-16T11:40:39Z,0.0
Old farts like her should retire already or get ready for the embalming fluid.  Sit back and relax on all you real estate investments in the Bay area. So angry. What's up w. her speech? Bad denture job?,2019-10-08T18:25:06Z,-0.1414
Thanks  for the laugh Global News you made my day.,2019-10-08T16:42:31Z,0.7579
"PELOSI AND SCHIFF DOESN'T EVEN KNOW WHAT THE FABRICATED CHARGES ARE!! THEY'RE HELL BENT ON IMPEACHING OUR BELOVED PRESIDENT, TO THEIR OWN DEMISE!!! PRESIDENT TRUMP HAS BEEN FORTHRIGHT IN ALL HIS DEALINGS, BUT THE MEDIA CONTINUES TO AID THE DEMONIC DEEP STATE'S FAR LEFT!!!  GOD IS ON THE SCENE AND HIS JUDGMENTS WILL BE SWIFT FOR THOSE WHO FOLLOW SATAN!!! WE THE PEOPLE WILL MAINTAIN OUR ALLEGIANCE TO GOD AND THE CONSTITUTION OF THE UNITED STATES, NOT MAN!!!",2019-10-08T13:23:15Z,0.8798
Love how dems support the constitution when it feels good. Lol,2019-10-07T23:45:57Z,0.9118
Never going to happen!,2019-10-07T03:31:18Z,0.0
lol,2019-10-06T01:52:52Z,0.4215
Yes let’s all get this white supremacist leader out of office. God bless America 🇺🇸,2019-10-05T20:01:48Z,0.7964
How foolish you are!!!!,2019-10-05T05:05:12Z,-0.5053
Donald Trump is the 🐐,2019-10-04T05:08:36Z,0.0
All these people saying Pelosi is drunk are just ashamed that their Cheeto man is gettin booted,2019-10-03T18:58:25Z,-0.6705
*What a hag !*,2019-10-01T10:06:08Z,0.0
Hahahahahahaha she really thinks this will work god they are so dumb trump 2020,2019-10-01T10:02:38Z,-0.4838
Nancy Pelosi Ur FIRED!!!!!!! and Guilty off all u say trump did U have done,2019-10-01T04:19:36Z,-0.6083
"Nancy Pelosi often displays what is known as “Duping Delight.” Even her monthly dose of 10,000 Botox units can’t cover up her desire to manipulate and deceive. She’s done it for so long it’s just second nature. Democrats Just hope if they throw enough spaghetti against the wall somethings going to stick. Dear God the American people have had enough of this.",2019-10-01T02:38:32Z,0.765
Call Nancy Pelosi tell her to resign!!! 202-225-4965,2019-09-30T20:54:05Z,-0.5067
She should go to Guantanamo for treason.,2019-09-30T10:47:03Z,-0.4404
"No one:
Absolutely no one:
People who still support trump: sHe SoUnDs DrUnK",2019-09-29T15:05:47Z,-0.5256
Her dentures are too big for her slurred speech,2019-09-29T14:29:14Z,0.0
"Ole nance is barely hanging on,  huh .? Lol !! This freak can barely form a sentence and looks like she  climbed out of a grave 3 days ago and hit the stage .... show time , pig ! Keep talking,  you're doing great !",2019-09-28T21:48:15Z,0.7261
"Trump said all disposable people out.. which aoc knows nothing about.. one word corruption get out..... thank you trump 2020 and more like him
Disgrace Democrats.. max waters really??",2019-09-28T04:48:16Z,0.2935
"How about do some laws now, you undermine the American people.. Seriously,  again.. losers
.trump 2020.
.get over it.
.we are winner's",2019-09-28T04:45:26Z,-0.743
"""The President is held accountable. No one is above the law."" A great lesson from our American ally!

More international examples? British PM Johnson ('illegal' abuse of parliamentary power); former/the late Zimbabwe President Mugabe ('impeachment call' & 'resignation' on power abuse & corruption); former Hong Kong Chief Executive Tsang ('jailed' on unethical misconducts & corruption) ... And in Canada? Our PM's 'proven' practices of all as committed by these top national officials still leave him grasping & babbling around freely for reelection to date. How sad, how illogical, how shameful - domestically & internationally.",2019-09-27T17:00:27Z,-0.9032
I wish they would impeach Nancy. She not worthy to serve in the office.,2019-09-27T14:59:22Z,0.0757
"She is corrupt, she is a crook, she is the left hand of hillary clinton, she is old, she isnt sharp, very dangerous woman full of extreme left hatred. I dont care about your left or right but i do care about justice! The only way to stop this witch hunt is to look at official facts. There is no solid proof!",2019-09-27T12:26:32Z,-0.8109
Bet ! She almost lost her dentures right before quickly exiting stage. 😹,2019-09-27T05:17:04Z,-0.318
25 years? How is this possible? Time for you to retire and take up knitting sweaters for the homeless Nancy!!!!,2019-09-27T03:54:03Z,0.0
Whistle Blower? Or just the wind blowing past Pelosi's head?,2019-09-27T02:22:16Z,0.0
Get these pot smoking Democrat socialist out of our country,2019-09-27T00:02:56Z,0.0
Trump 2020,2019-09-27T00:02:20Z,0.0
She’s scary 🤥,2019-09-26T21:56:27Z,-0.4939
Helping Trump to win again in 2020. More than Trump the democratic party will ensure Trump wins again..,2019-09-26T18:42:17Z,0.9325
Nancy Pelosi should be investigated..she came into Congress a normal person..decades later she's a  multimillionaire..how did that happen..one of the tactics of guilty parties is to deflect attention from themselves by 'any means necessary '..,2019-09-26T16:46:24Z,-0.0258
My goodness! If she could spew fire she would. Too bad for her she's just blowing smoke. When will she ever give up?,2019-09-26T15:56:52Z,-0.4926
Nut cases,2019-09-26T11:35:09Z,0.0
Peloci bidon are finished,2019-09-26T10:48:30Z,0.0
She look creepy asf,2019-09-26T10:22:56Z,0.0
"When I see Pelosi, I can't help but emphatically exclaim: ""Botox and dentures and lies, oh my!"" Botox and dentures and lies, oh my!!!"" ""Botox and dentures and lies, oh my!!!!!!!!!!""",2019-09-26T09:09:26Z,-0.9312
Nancy it’s a trap!!!,2019-09-26T05:35:04Z,-0.4898
She served on the intelligence committee so she must be smart.🙄,2019-09-26T05:32:48Z,0.4767
Show me the man. I will find you the crime.,2019-09-26T05:31:13Z,-0.5423
"Spoiler: Trump doesn’t get impeach and liberal get even more butt hurt. 

Life is good. Lol",2019-09-26T03:21:22Z,0.2551
Ha ha ha ha ha 😁😁😁😁🤣😂🤣😂😭🤭😆😆😆😆😆😄😄🤣😂🤣😂🤣😂🤣😊😭😭yall dont think she sounds crazy to you?,2019-09-26T00:35:07Z,0.8225
She's a joke,2019-09-25T20:14:17Z,0.296
Witch Pelosi,2019-09-25T19:22:27Z,-0.3612
What a liar she is.  Can't stand to watch her.,2019-09-25T15:29:27Z,-0.5106
"Here we go again... 😊
Shamelessly Democrats. 🤔",2019-09-25T15:04:31Z,-0.34
ERROR ERROR TRUMP IS WINNING ERROR ERROR MUST THROW TANTRUM ERROR ERROR,2019-09-25T14:37:13Z,-0.9274
Many whites aren't gonna like this. But right is right.....,2019-09-25T13:58:26Z,-0.2755
Waste of time and resources,2019-09-25T13:39:47Z,-0.4215
