Video ID,News Channel,Comment ID,Comment,Published At,Likes,Sentiment
LP5yA5GEZoQ,FOX,UgwmSswyR5dd6GJDr094AaABAg,I think Trump lost the last election because he's not a globalist and the globalist hate him and Biden is a globalist. But you got to keep fighting for this country Trump but just stop being a little child with your comments.,2022-11-16T03:18:08Z,0,-0.7615
LP5yA5GEZoQ,FOX,UgzOXDtlvWBp-w76gLl4AaABAg,I don't want you to be the POTUS in 2024. I want you to be the President NOW to save this country.,2022-11-16T03:18:07Z,0,0.4129
LP5yA5GEZoQ,FOX,UgwBpJRmF2j4gcMz7Kx4AaABAg,Wow!,2022-11-16T03:18:06Z,0,0.6239
LP5yA5GEZoQ,FOX,Ugw4jr1lxKK6MrW_yAt4AaABAg,This lunatic will lose!,2022-11-16T03:18:05Z,1,-0.7345
LP5yA5GEZoQ,FOX,UgwCzRU3OWR2AkvGRRd4AaABAg,so if Trump loses the nomination to DeSantis will he say the process is rigged,2022-11-16T03:18:05Z,0,-0.6204
LP5yA5GEZoQ,FOX,Ugx2el2-HHm31U4NkTl4AaABAg,Yay!,2022-11-16T03:18:04Z,0,0.5707
LP5yA5GEZoQ,FOX,UgzyWIp1lGjDYwkYvJd4AaABAg,"Even though America loves orange man bad, small hat people hate him.",2022-11-16T03:18:04Z,0,-0.5423
LP5yA5GEZoQ,FOX,UgwPxvMRj1oTObNvQm54AaABAg,Trump 2024 Save America 🇺🇲,2022-11-16T03:18:03Z,0,0.4939
LP5yA5GEZoQ,FOX,Ugwy6qy79-MZ-V8cPHN4AaABAg,Yea it’s a job ! But not a job for you my guy . You thought the country was destroyed know man 😂🤣 just wait when your “back in office “ when you lose again . I wonder what will be your excuse now,2022-11-16T03:18:00Z,0,-0.7088
LP5yA5GEZoQ,FOX,UgyGVGX6OBpyaGIl29p4AaABAg,I'd rather vote for DeSantis. Trump is fake and corrupt.,2022-11-16T03:17:55Z,1,-0.4767
