Video ID,Comment ID,Comment,Published At,Video Title,Sentiment
0UfHSA7Sa8U,UgycvzPFGTLec3ub1Vt4AaABAg,this is old,2023-04-07T11:52:49Z,Biden administration releases review of Afghanistan withdrawal,0.0
0UfHSA7Sa8U,UgwgW_bxTRR9tjwzL6t4AaABAg,America's most humiliating withdrawal.,2023-04-07T11:52:22Z,Biden administration releases review of Afghanistan withdrawal,-0.2766
0UfHSA7Sa8U,UgxBvSYVNDQofMeWN5J4AaABAg,This is weird... CBS is actually criticizing the Biden administration,2023-04-07T11:41:16Z,Biden administration releases review of Afghanistan withdrawal,-0.3612
0UfHSA7Sa8U,UgzucHl3YkdLc4eE_8B4AaABAg,Let's go BRANDON. The BRANDON administration is the most INCOMPETENT President in history,2023-04-07T10:02:05Z,Biden administration releases review of Afghanistan withdrawal,-0.6281
0UfHSA7Sa8U,UgzOTpWVkSZQEBimRgZ4AaABAg,Joe Biden administration pointing their fingers again and again. It's ALWAYS Trumps fault! Grow up Biden and take the blows for YOUR incompetence!,2023-04-07T08:56:28Z,Biden administration releases review of Afghanistan withdrawal,-0.7639
0UfHSA7Sa8U,UgwdgkkuI2W8y3kHAMt4AaABAg,"hmmm... I'm not a Trump fan AT ALL, but nah, you need to own your actions, 46th.",2023-04-07T08:23:30Z,Biden administration releases review of Afghanistan withdrawal,-0.2688
0UfHSA7Sa8U,Ugx3HvSWZScTkQsKXX54AaABAg,Make your own plan …. Simple as that,2023-04-07T04:37:21Z,Biden administration releases review of Afghanistan withdrawal,0.0
0UfHSA7Sa8U,UgwEtfD-bo4AlqZqb214AaABAg,"Cambodia people heard this feeling 😢  🇰🇭
Flash back over 60 years ago",2023-04-07T04:02:19Z,Biden administration releases review of Afghanistan withdrawal,0.1593
0UfHSA7Sa8U,UgyZwKLVtErtl1o2bPF4AaABAg,Democraps only have two answers for their Democrapery and it’s either “Racisss” or “Trump’s fault”.,2023-04-07T04:01:10Z,Biden administration releases review of Afghanistan withdrawal,0.0
0UfHSA7Sa8U,UgzMvw_O-sYJMVla4PB4AaABAg,CBS News = Fascist propaganda,2023-04-07T03:28:47Z,Biden administration releases review of Afghanistan withdrawal,-0.6808
