Video ID,News Channel,Comment ID,Comment,Published At,Likes,Sentiment
QjgOie-m5-I,ABC News,Ugwi8HDPYY1Bg9CsAhp4AaABAg,"hES NOT FIGHTING FOR THE SOAL OF AMERICA, IT'S THE HUSK OF AMERICA.",2023-07-28T23:25:06Z,0,-0.4995
QjgOie-m5-I,ABC News,Ugz8XXCvYw2FIzmlKi14AaABAg,<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<TRUMP 2024>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>,2023-07-28T23:22:29Z,0,0.0
QjgOie-m5-I,ABC News,UgwdEUt3RaavqFvuWCB4AaABAg,It's? So funny YouTube. Can you understand um that's what. Ads all? Over. His face good? Job youtube more ads and they're black,2023-06-18T00:15:33Z,0,0.7672
QjgOie-m5-I,ABC News,Ugy3ht_JD82EyY7aeFF4AaABAg,"I doubt Biden will actually go through with his ""re-election"", he knows he is in mental decline & his admin. is protecting him by minimizing all of his interviews, duties & hours that he actually works.  He really needs to accept he is not capable of serving another term - GIVE IT UP you OLD GEEZER!   Plus you've done enough DAMAGE to this USA!  American Taxpayers have been slapped in the FACE because of YOU!  The sheer insanity of the illegal immigration INVASION has made a mockery of this country!  And the crippling INFLATION , also on YOU!  Bah bye Biden!",2023-06-07T16:22:12Z,0,-0.9479
QjgOie-m5-I,ABC News,Ugwsv4527lYoTWKm_Al4AaABAg,BIDEN HASN'T DONE ONE THING RITE NOT ONE THING UNLESS YOUR AN IMMAGRENT AND WANT SOME OF OUR HARD EARNED MONEY. IF BIDEN RIGS THE ELECTION AGAIN AND HE WINS SOMEHOW. I'M GETTING OUT OF AMERICA AND IM TAKING MY MONEY WITH ME.,2023-05-24T23:22:33Z,0,0.5574
QjgOie-m5-I,ABC News,Ugwi29gjr5cADJje9mJ4AaABAg,Just can't fix stupid,2023-05-05T14:13:49Z,1,0.4168
QjgOie-m5-I,ABC News,Ugwg4ctddG-BjPGFSOp4AaABAg,This guy is a fuckin fraud.,2023-05-03T01:51:23Z,0,-0.5859
QjgOie-m5-I,ABC News,UgyYDO2fOdbvjLQgKO54AaABAg,"You're right Mr. President, we need Trump back to reverse everything you've done. Our country needs to be a self sufficient force. We don't need to have anything from China, Russia, Saudia Arabia we're not allowed to sell products in those 3 countries then they don't need to sell their goods in our country and if we restart the oil pipeline we don't need to purchase oil from Saudi Arabia.",2023-05-03T01:27:34Z,2,0.0
QjgOie-m5-I,ABC News,UgzvGYoH05RKPmieAwd4AaABAg,"Eek! …”Finish the job???”
SCAREY!",2023-05-03T01:12:08Z,0,-0.6764
QjgOie-m5-I,ABC News,UgxPCEWtbb_lm6r7NqF4AaABAg,"Please tell me he was just talking in his sleep right? How does one who has caused us so much pain every time we grocery shop and fill up our tank to get there and with so many homeless and border wide open actually think someone would want to continue living this way? He caused it all, I's he really that unaware of whats going on in the world today under his bizarre administration?, it's a disaster!",2023-05-03T00:24:25Z,0,-0.8831
QjgOie-m5-I,ABC News,UgywThPs2j-6j7gGjoB4AaABAg,Biden is taking away the freedom of the Americans in the United States and his party are trying to brainwash everybody and use reverse psychology on everybody because they think everybody is stupid. It is time for the American people to stand up stand together and say no more,2023-05-02T23:00:16Z,0,0.6249
QjgOie-m5-I,ABC News,UgwqSM1kvv12XowwH-d4AaABAg,Biden is the biggest liar every time he speaks he lies he lies he lies he lies,2023-05-02T22:57:01Z,0,-0.926
QjgOie-m5-I,ABC News,Ugw5nY9EkXl3s09Cc8h4AaABAg,"There isn't enough space to fit all of Biden's blunders, the woke lunacy, leftist insurrection, and soft on crime footage into one campaign commercial. But we do remember it.",2023-05-02T22:21:17Z,0,-0.25
QjgOie-m5-I,ABC News,UgyaTtMfEmughLvCdxd4AaABAg,"Things are GREAT PanderJoe. Banks are collapsing, car lots are empty , eggs are $5 a dozen, gas requires remortgage, Oakland now joins Seattle, Portland, Chicago, New York for nightly thug takeovers, murder, looting and anti-cop mayhem. Inflation is between 35% and 120% on every food item I buy. NOT A SINGLE THING costs what it did before this pandering senile pile of dipshit took over. It's going great if you're a ""never had a parent"" thug - you don't have to go to jail anymore in Biden panderville. Things couldn't POSSIBLY be worse",2023-05-02T19:57:33Z,2,0.1747
QjgOie-m5-I,ABC News,UgzJfISYDR9uCvceL314AaABAg,The great divider and embracer of immorality.,2023-05-02T19:08:00Z,0,0.5423
QjgOie-m5-I,ABC News,UgxpAbbnM_IAYvXFz2x4AaABAg,This is so cringe. The failed chants and the fake excitement is what gets me the most.,2023-05-02T18:44:37Z,0,-0.5367
QjgOie-m5-I,ABC News,UgxRBQya_bAWVBs0HsF4AaABAg,😂😂😂😂 Fools,2023-05-02T16:27:42Z,0,-0.4939
QjgOie-m5-I,ABC News,UgwCCb47Rx47ezcMJMl4AaABAg,Are these hired actors who are cheering for him... Because I can't imagine anyone stupid enough to want to vote for him again.,2023-05-02T11:42:17Z,0,0.7488
QjgOie-m5-I,ABC News,UgyjR8r93269T44bAU94AaABAg,"If the political machine gets this brain dead, comprimised old fool elected again. Something is really wrong.
It worked fie fetterman,  dear God",2023-05-02T11:36:27Z,0,-0.7841
QjgOie-m5-I,ABC News,UgyezbPJe6uKsJf3nad4AaABAg,"As crime spree in New Mexico and terrorist regime cells, Tsliban and drug cartels Hunter Biden involved in James Clavengers crimes also here in New Mexico. You will hear more about.",2023-05-02T02:55:04Z,0,-0.8481
QjgOie-m5-I,ABC News,UgzYPtKAxyrDYzy0qd94AaABAg,"(B)rain (I)s (D)amaged (E)specially (N)arcotic (S)on.....If he runs, there will be another Civil War. He caused enough damage. No one will tolerate him and his Corrupt Communist agenda.",2023-05-02T02:13:48Z,1,-0.8519
QjgOie-m5-I,ABC News,UgzntunqMhz9ih4Ig8V4AaABAg,Put him on the next space launch. Back to whatever planet he thinks he is from.,2023-05-02T01:56:10Z,0,0.0
QjgOie-m5-I,ABC News,UgxT6lKzSAgZRIQLGAV4AaABAg,Biden is a waste.....never for American citizens,2023-05-02T01:49:00Z,0,0.0
QjgOie-m5-I,ABC News,UgyyTZFIbVX7jEnnB9Z4AaABAg,😂,2023-05-02T00:04:49Z,0,0.0
QjgOie-m5-I,ABC News,UgxNwO-1zobAE8ebmMh4AaABAg,😂😂😂,2023-05-01T23:04:23Z,0,0.0
QjgOie-m5-I,ABC News,Ugxyevg0vsQJzrPXjN94AaABAg,"🤦‍♀️gotta be kidding me
He opens his mouth and lies fly out 😈",2023-05-01T22:19:51Z,0,-0.34
QjgOie-m5-I,ABC News,Ugzo2EWQ1avR2t1kLU14AaABAg,"I thought Bush was bad, Biden makes Bush look like JFK",2023-05-01T21:51:45Z,0,-0.25
QjgOie-m5-I,ABC News,Ugx0EM-rvZ6jsvnUayt4AaABAg,I’m NOT VOTING FOR BIDEN,2023-05-01T20:41:09Z,0,0.0
QjgOie-m5-I,ABC News,UgwxlI6NZU_PT6vAHLl4AaABAg,"Just like there's an age limit to run for president,  there should be an age limit to serve. The problem is - average age in the US Senate is 65.",2023-05-01T17:18:58Z,0,-0.0516
QjgOie-m5-I,ABC News,UgxcyQNPe1lh7vrx3_R4AaABAg,I’ve seen more convincing acting in tampon commercials.  😂,2023-05-01T15:45:41Z,0,0.4576
QjgOie-m5-I,ABC News,UgyGc5-C8YWfH7ahA5F4AaABAg,I can't wake up from this bad dream,2023-05-01T10:44:46Z,0,-0.481
QjgOie-m5-I,ABC News,UgyiwCKmgWVIZj3ModZ4AaABAg,NO,2023-05-01T03:47:43Z,0,-0.296
QjgOie-m5-I,ABC News,Ugz-zAhdgPnk05Im6Jp4AaABAg,Biden the worst president ever! Just ruining this country and bankrupting us while all the money goes in his wallet! He doesn't give a rat's ass about the American people! And he proves it all the time and he's a racist also!,2023-04-30T21:54:27Z,0,-0.8562
QjgOie-m5-I,ABC News,Ugzg52MeWbgqLwoIPMN4AaABAg,I won't vote for Baiden if Kamala is on the ticket,2023-04-30T17:54:07Z,0,0.0
QjgOie-m5-I,ABC News,Ugxgi5qFD9t1j6GDQix4AaABAg,"Here is his real campaign ad… You’re welcome 😁

https://youtu.be/D3WODhNHjvs",2023-04-30T16:34:21Z,0,0.4588
QjgOie-m5-I,ABC News,UgzIGl1k6heFJ4LAVTl4AaABAg,All the dead people that voted for him are probably rolling over in their graves,2023-04-30T14:50:43Z,0,-0.7579
QjgOie-m5-I,ABC News,Ugzr4-Yu6UMREcLeNtR4AaABAg,"Whether you're a Maga republican or a Dumbo democrat, how can anyone vote for a president who has dementia?   That's crazy!",2023-04-30T09:17:06Z,1,-0.4003
QjgOie-m5-I,ABC News,UgylgRStmJfTjTQETJ14AaABAg,"New biden song 👇
Welcome! Sleepy joe",2023-04-30T09:15:08Z,1,0.5093
QjgOie-m5-I,ABC News,Ugy0mEt32HoBQHpdkVt4AaABAg,Aren't they opening a chain of Pedophile's R US?,2023-04-30T03:17:12Z,0,0.0
QjgOie-m5-I,ABC News,UgwWovT6VrrBn8eQ8IR4AaABAg,Are y'all stupid or brain dead,2023-04-30T03:15:04Z,0,-0.8271
QjgOie-m5-I,ABC News,UgxKDI0mP7xBD2Ehoc94AaABAg,Biden is a straight he cares about no one he's destroyed our beautiful  country 😢 😤,2023-04-30T00:59:30Z,1,0.5267
